Bluetooth,CDMA,Docking Station,External Battery,Fingerprint,Infrared,Installed Memory,Manufacturer_Acer,Manufacturer_Apple,Manufacturer_Asus,Manufacturer_Averatec,Manufacturer_Dell,Manufacturer_Fujitsu,Manufacturer_Gateway,Manufacturer_HP,Manufacturer_Lenovo,Manufacturer_Panasonic,Manufacturer_Sony,Manufacturer_Toshiba,Max Horizontal Resolution,Memory Technology_DDR-SDRAM_(DDRRAM),Memory Technology_DDR2,Memory Technology_SDRAM,Operating System_Mac_OS,Operating System_VistaHB:_Vista_Home_Basic,Operating System_VistaHP:_Vista_Home_Premium,Operating System_VistaUlt:_Vista_Ultimate,Operating System_Vista_Business,Operating System_WinXP,Operating System_WinXP_Pro,Port Replicator,Price,Processor Speed,Processor_AMD Athlon 64x2 Doble Nucleo,Processor_AMD Mobile Sempron,Processor_AMD Turion 64x2,Processor_Intel Celeron,Processor_Intel Core2 Duo,Processor_Intel Core2 Solo,Processor_Intel Pentium Dual-Core,Processor_PowerPC,Subwoofer,Warranty-Days,market_impact,SalesScaled
1,0,0,0,0,0,512,0,1,0,0,0,0,0,0,0,0,0,0,800,0,1,0,1,0,0,0,0,0,0,0,59999.5,2000.0,0,0,0,0,1,0,0,0,0,365,0.0,66526.29383
1,0,0,0,0,0,1000,0,1,0,0,0,0,0,0,0,0,0,0,800,0,1,0,1,0,0,0,0,0,0,0,62499.5,2000.0,0,0,0,0,1,0,0,0,0,365,0.0,41657.54677
1,0,0,0,0,0,512,0,1,0,0,0,0,0,0,0,0,0,0,800,0,1,0,1,0,0,0,0,0,0,0,64999.5,1830.0,0,0,0,0,1,0,0,0,0,365,0.0,57110.166489999996
1,0,0,0,0,0,1000,0,1,0,0,0,0,0,0,0,0,0,0,800,0,1,0,1,0,0,0,0,0,0,0,67497.5,2160.0,0,0,0,0,1,0,0,0,0,365,0.0,45525.86856
1,0,0,0,0,0,512,0,1,0,0,0,0,0,0,0,0,0,0,900,1,0,0,1,0,0,0,0,0,0,0,64750.0,1670.0,0,0,0,0,0,0,0,1,0,365,0.0,65862.05587000001
1,0,0,0,0,0,512,0,1,0,0,0,0,0,0,0,0,0,0,1050,0,1,0,1,0,0,0,0,0,0,0,69950.0,1670.0,0,0,0,0,0,0,0,1,0,365,37.548,91793.74381
0,0,0,0,0,0,1000,1,0,0,0,0,0,0,0,0,0,0,0,800,0,1,0,0,0,0,0,1,0,0,0,58911.0,1660.0,0,0,0,0,1,0,0,0,0,365,0.0,38840.61105
1,0,0,0,0,0,1000,0,0,1,0,0,0,0,0,0,0,0,0,720,0,1,0,0,0,0,0,1,0,0,0,64099.5,2000.0,0,0,0,0,1,0,0,0,0,720,0.0,66138.05597999999
1,0,0,0,1,0,2000,0,0,0,0,0,1,0,0,0,0,0,0,800,0,1,0,0,0,0,0,1,0,0,0,57450.0,2000.0,0,0,0,0,1,0,0,0,0,365,0.0,90536.18372999999
0,0,1,0,0,1,1000,0,0,0,0,0,1,0,0,0,0,0,0,1200,0,1,0,0,0,0,0,1,0,0,1,66950.0,1660.0,0,0,0,0,1,0,0,0,0,365,20.455,82453.08355
1,0,1,0,1,1,1000,0,0,0,0,0,0,0,1,0,0,0,0,800,0,1,0,0,0,0,0,1,0,0,1,56750.0,2000.0,0,0,0,0,1,0,0,0,0,1095,37.446,67649.96875
0,0,1,0,0,1,1000,0,0,0,0,0,0,0,1,0,0,0,0,800,0,1,0,0,0,0,0,1,0,0,1,57249.0,1730.0,0,0,0,0,1,0,0,0,0,365,13.459000000000001,21239.88363
1,0,1,0,0,0,1000,0,0,0,0,0,0,0,1,0,0,0,0,1050,0,1,0,0,0,0,0,1,0,0,1,60450.0,1830.0,0,0,0,0,1,0,0,0,0,365,13.459000000000001,59232.0318
0,0,1,0,1,0,2000,0,0,0,0,0,0,0,1,0,0,0,0,1050,0,1,0,0,0,0,0,1,0,0,1,65249.5,2000.0,0,0,0,0,1,0,0,0,0,365,13.459000000000001,109885.0449
1,0,1,0,1,0,1000,0,0,0,0,0,0,0,1,0,0,0,0,1050,0,1,0,0,0,0,0,1,0,0,1,68423.5,2000.0,0,0,0,0,1,0,0,0,0,1095,13.459000000000001,88669.47159
0,0,1,0,0,0,1000,0,0,0,0,0,0,0,1,0,0,0,0,800,0,1,0,0,0,0,0,1,0,0,1,69450.0,1060.0,0,0,0,0,1,0,0,0,0,1095,13.459000000000001,68628.11592000001
1,0,1,0,1,1,1000,0,0,0,0,0,0,0,1,0,0,0,0,800,0,1,0,0,0,0,0,1,0,0,1,71250.0,1830.0,0,0,0,0,1,0,0,0,0,1095,13.459000000000001,41370.82225
1,0,1,0,1,0,1000,0,0,0,0,0,0,0,1,0,0,0,0,1050,0,1,0,0,0,0,0,1,0,0,1,71400.0,2000.0,0,0,0,0,1,0,0,0,0,1095,13.459000000000001,87137.67332999999
1,0,0,0,1,0,1000,0,0,0,0,0,0,0,0,1,0,0,0,1050,0,1,0,0,0,0,0,1,0,0,0,57043.5,2000.0,0,0,0,0,1,0,0,0,0,365,13.459000000000001,67828.09513999999
0,0,1,0,1,1,1000,0,0,0,0,0,0,0,0,1,0,0,0,800,0,1,0,0,0,0,0,1,0,0,1,57179.0,1660.0,0,0,0,0,1,0,0,0,0,365,0.0,39731.95141
1,0,1,0,1,0,1000,0,0,0,0,0,0,0,0,1,0,0,0,768,0,1,0,0,0,0,0,1,0,0,1,57450.0,2000.0,0,0,0,0,1,0,0,0,0,1095,0.0,77813.64091
1,0,0,0,1,0,2000,0,0,0,0,0,0,0,0,1,0,0,0,1050,0,1,0,0,0,0,0,1,0,0,0,57499.5,2000.0,0,0,0,0,1,0,0,0,0,365,0.0,129511.7813
1,0,1,0,1,0,1000,0,0,0,0,0,0,0,0,1,0,0,0,768,0,1,0,0,0,0,0,1,0,0,1,58950.0,2000.0,0,0,0,0,1,0,0,0,0,365,0.0,50343.821130000004
0,0,1,0,0,0,1000,0,0,0,0,0,0,0,0,1,0,0,0,800,0,1,0,0,0,0,0,1,0,0,1,62450.0,1800.0,0,0,0,0,1,0,0,0,0,1095,13.459000000000001,44691.98872
0,0,1,0,1,0,1000,0,0,0,0,0,0,0,0,1,0,0,0,768,0,1,0,0,0,0,0,1,0,0,1,62800.0,1660.0,0,0,0,0,1,0,0,0,0,365,0.0,43698.805
1,0,1,0,1,1,1000,0,0,0,0,0,0,0,0,1,0,0,0,1050,0,1,0,0,0,0,0,1,0,0,1,63901.5,1660.0,0,0,0,0,1,0,0,0,0,365,13.459000000000001,59635.069879999995
1,0,1,0,1,0,1000,0,0,0,0,0,0,0,0,1,0,0,0,800,0,1,0,0,0,0,0,1,0,0,1,64950.0,2000.0,0,0,0,0,1,0,0,0,0,1095,13.459000000000001,51455.969489999996
0,0,1,0,1,0,1000,0,0,0,0,0,0,0,0,1,0,0,0,800,0,1,0,0,0,0,0,1,0,0,1,66950.0,2000.0,0,0,0,0,1,0,0,0,0,1095,0.0,66065.05661
0,0,1,0,0,0,1000,0,0,0,0,0,0,0,0,1,0,0,0,800,0,1,0,0,0,0,0,1,0,0,1,67200.0,2000.0,0,0,0,0,1,0,0,0,0,1095,0.0,65936.39894
0,0,1,0,0,0,1000,0,0,0,0,0,0,0,0,1,0,0,0,800,0,1,0,0,0,0,0,1,0,0,1,67200.0,2000.0,0,0,0,0,1,0,0,0,0,1095,13.459000000000001,50298.05043
1,0,1,0,1,0,1000,0,0,0,0,0,0,0,0,1,0,0,0,1050,0,1,0,0,0,0,0,1,0,0,1,67450.0,2000.0,0,0,0,0,1,0,0,0,0,1095,13.459000000000001,89170.46457000001
1,0,0,0,1,0,1000,0,0,0,0,0,0,0,0,1,0,0,0,900,0,1,0,0,0,0,0,1,0,0,0,68249.5,2000.0,0,0,0,0,1,0,0,0,0,1095,13.459000000000001,56604.67649
1,0,1,0,1,0,1000,0,0,0,0,0,0,0,0,1,0,0,0,768,0,1,0,0,0,0,0,1,0,0,1,71950.0,2000.0,0,0,0,0,1,0,0,0,0,365,13.459000000000001,28015.273610000004
1,0,0,0,1,0,2000,0,0,0,0,0,0,0,0,1,0,0,0,800,0,1,0,0,0,0,0,1,0,0,0,74950.0,2000.0,0,0,0,0,1,0,0,0,0,365,13.459000000000001,65891.79809
0,0,1,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,1,0,800,0,1,0,0,0,0,0,1,0,0,1,59950.0,1660.0,0,0,0,0,1,0,0,0,0,365,26.25,67913.12695
0,0,1,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,1,0,800,0,1,0,0,0,0,0,1,0,0,1,59999.5,1660.0,0,0,0,0,1,0,0,0,0,365,0.13699999999999998,84401.81848999999
0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,1,0,800,0,1,0,0,0,0,0,1,0,0,0,60450.0,1800.0,0,0,0,0,1,0,0,0,0,365,26.386999999999997,64427.56839
