Bluetooth,CDMA,Docking Station,External Battery,Fingerprint,Infrared,Installed Memory,Manufacturer_Acer,Manufacturer_Apple,Manufacturer_Asus,Manufacturer_Averatec,Manufacturer_Dell,Manufacturer_Fujitsu,Manufacturer_Gateway,Manufacturer_HP,Manufacturer_Lenovo,Manufacturer_Panasonic,Manufacturer_Sony,Manufacturer_Toshiba,Max Horizontal Resolution,Memory Technology_DDR-SDRAM_(DDRRAM),Memory Technology_DDR2,Memory Technology_SDRAM,Operating System_Mac_OS,Operating System_VistaHB:_Vista_Home_Basic,Operating System_VistaHP:_Vista_Home_Premium,Operating System_VistaUlt:_Vista_Ultimate,Operating System_Vista_Business,Operating System_WinXP,Operating System_WinXP_Pro,Port Replicator,Price,Processor Speed,Processor_AMD Athlon 64x2 Doble Nucleo,Processor_AMD Mobile Sempron,Processor_AMD Turion 64x2,Processor_Intel Celeron,Processor_Intel Core2 Duo,Processor_Intel Core2 Solo,Processor_Intel Pentium Dual-Core,Processor_PowerPC,Subwoofer,Warranty-Days,market_impact,SalesScaled
1,0,0,0,0,0,512,0,1,0,0,0,0,0,0,0,0,0,0,1200,0,1,0,1,0,0,0,0,0,0,0,47499.5,1830,0,0,0,0,1,0,0,0,0,365,0,130072.6225
1,0,0,0,0,0,1000,0,1,0,0,0,0,0,0,0,0,0,0,800,0,1,0,1,0,0,0,0,0,0,0,49997.5,2000,0,0,0,0,1,0,0,0,0,365,0,43463.56084
1,0,0,0,0,0,1000,0,1,0,0,0,0,0,0,0,0,0,0,800,0,1,0,1,0,0,0,0,0,0,0,54290,2000,0,0,0,0,1,0,0,0,0,365,0,45672.6131
1,0,0,0,0,0,1000,0,1,0,0,0,0,0,0,0,0,0,0,800,0,1,0,1,0,0,0,0,0,0,0,54499.5,2160,0,0,0,0,1,0,0,0,0,365,0,52215.03832
1,0,0,0,0,0,512,0,1,0,0,0,0,0,0,0,0,0,0,800,0,1,0,1,0,0,0,0,0,0,0,59999.5,2000,0,0,0,0,1,0,0,0,0,365,0,66526.29383
1,0,0,0,0,0,1000,0,1,0,0,0,0,0,0,0,0,0,0,800,0,1,0,1,0,0,0,0,0,0,0,62499.5,2000,0,0,0,0,1,0,0,0,0,365,0,41657.54677
1,0,0,0,0,0,512,0,1,0,0,0,0,0,0,0,0,0,0,800,0,1,0,1,0,0,0,0,0,0,0,64999.5,1830,0,0,0,0,1,0,0,0,0,365,0,57110.16649
1,0,0,0,0,0,1000,0,1,0,0,0,0,0,0,0,0,0,0,800,0,1,0,1,0,0,0,0,0,0,0,67497.5,2160,0,0,0,0,1,0,0,0,0,365,0,45525.86856
1,0,0,0,0,0,512,0,1,0,0,0,0,0,0,0,0,0,0,800,0,1,0,1,0,0,0,0,0,0,0,77499.5,2000,0,0,0,0,1,0,0,0,0,365,0,57520.2567
0,0,0,0,0,0,2000,0,1,0,0,0,0,0,0,0,0,0,0,900,0,1,0,1,0,0,0,0,0,0,0,94199.5,2200,0,0,0,0,1,0,0,0,0,365,0,86521.05154
1,0,0,0,0,0,2000,0,1,0,0,0,0,0,0,0,0,0,0,900,0,1,0,1,0,0,0,0,0,0,0,94950,2330,0,0,0,0,1,0,0,0,0,365,0,91367.68359
0,0,0,0,0,0,256,0,1,0,0,0,0,0,0,0,0,0,0,768,1,0,0,1,0,0,0,0,0,0,0,26950,1000,0,0,0,0,0,0,0,1,0,365,0,96318.49938
0,0,0,0,0,0,250,0,1,0,0,0,0,0,0,0,0,0,0,768,0,0,1,1,0,0,0,0,0,0,0,27950,933,0,0,0,0,0,0,0,1,0,365,0,99820.01155
0,0,0,0,0,0,256,0,1,0,0,0,0,0,0,0,0,0,0,768,1,0,0,1,0,0,0,0,0,0,0,28450,1000,0,0,0,0,0,0,0,1,0,365,0,97090.44542
0,0,0,0,0,0,256,0,1,0,0,0,0,0,0,0,0,0,0,768,1,0,0,1,0,0,0,0,0,0,0,28950,1330,0,0,0,0,0,0,0,1,0,365,0,84064.34089
0,0,0,0,0,0,256,0,1,0,0,0,0,0,0,0,0,0,0,768,1,0,0,1,0,0,0,0,0,0,0,28950,867,0,0,0,0,0,0,0,1,0,365,0,102701.3815
0,0,0,0,0,0,256,0,1,0,0,0,0,0,0,0,0,0,0,768,1,0,0,1,0,0,0,0,0,0,0,29950,1000,0,0,0,0,0,0,0,1,0,365,0,97862.39146
0,0,0,0,0,0,256,0,1,0,0,0,0,0,0,0,0,0,0,768,1,0,0,1,0,0,0,0,0,0,0,32450,1200,0,0,0,0,0,0,0,1,0,365,0,91098.41069
1,0,0,0,0,0,512,0,1,0,0,0,0,0,0,0,0,0,0,768,1,0,0,1,0,0,0,0,0,0,0,32950,1330,0,0,0,0,0,0,0,1,0,365,0,73751.88906
0,0,0,0,0,0,256,0,1,0,0,0,0,0,0,0,0,0,0,854,1,0,0,1,0,0,0,0,0,0,0,33950,867,0,0,0,0,0,0,0,1,0,365,0,95401.00871
0,0,0,0,0,0,256,0,1,0,0,0,0,0,0,0,0,0,0,768,1,0,0,1,0,0,0,0,0,0,0,36499.5,1330,0,0,0,0,0,0,0,1,0,365,0,87949.54531
0,0,0,0,0,0,256,0,1,0,0,0,0,0,0,0,0,0,0,500,1,0,0,1,0,0,0,0,0,0,0,37450,1000,0,0,0,0,0,0,0,1,0,365,0,159171.2106
0,0,0,0,0,0,512,0,1,0,0,0,0,0,0,0,0,0,0,768,1,0,0,1,0,0,0,0,0,0,0,37497.5,1000,0,0,0,0,0,0,0,1,0,365,0,89375.59202
1,0,0,0,0,0,512,0,1,0,0,0,0,0,0,0,0,0,0,768,1,0,0,1,0,0,0,0,0,0,0,38950,1500,0,0,0,0,0,0,0,1,0,365,0,69996.69935
0,0,0,0,0,0,512,0,1,0,0,0,0,0,0,0,0,0,0,768,1,0,0,1,0,0,0,0,0,0,0,39950,1250,0,0,0,0,0,0,0,1,0,365,0,80574.52692
1,0,0,0,0,0,512,0,1,0,0,0,0,0,0,0,0,0,0,768,1,0,0,1,0,0,0,0,0,0,0,39950,1420,0,0,0,0,0,0,0,1,0,365,0,73731.55304
1,0,0,0,0,0,512,0,1,0,0,0,0,0,0,0,0,0,0,960,0,1,0,1,0,0,0,0,0,0,0,47450,1670,0,0,0,0,0,0,0,1,0,365,0,80376.96096
0,0,0,0,0,0,512,0,1,0,0,0,0,0,0,0,0,0,0,900,1,0,0,1,0,0,0,0,0,0,0,51450,1330,0,0,0,0,0,0,0,1,0,365,0,83259.69515
0,0,0,0,0,0,512,0,1,0,0,0,0,0,0,0,0,0,0,900,1,0,0,1,0,0,0,0,0,0,0,53750,1500,0,0,0,0,0,0,0,1,0,365,0,77600.37187
1,0,0,0,0,0,512,0,1,0,0,0,0,0,0,0,0,0,0,768,1,0,0,1,0,0,0,0,0,0,0,56499.5,1500,0,0,0,0,0,0,0,1,0,365,0,76963.85201
