Bluetooth,CDMA,Docking Station,External Battery,Fingerprint,Infrared,Installed Memory,Manufacturer_Acer,Manufacturer_Apple,Manufacturer_Asus,Manufacturer_Averatec,Manufacturer_Dell,Manufacturer_Fujitsu,Manufacturer_Gateway,Manufacturer_HP,Manufacturer_Lenovo,Manufacturer_Panasonic,Manufacturer_Sony,Manufacturer_Toshiba,Max Horizontal Resolution,Memory Technology_DDR-SDRAM_(DDRRAM),Memory Technology_DDR2,Memory Technology_SDRAM,Operating System_Mac_OS,Operating System_VistaHB:_Vista_Home_Basic,Operating System_VistaHP:_Vista_Home_Premium,Operating System_VistaUlt:_Vista_Ultimate,Operating System_Vista_Business,Operating System_WinXP,Operating System_WinXP_Pro,Port Replicator,Price,Processor Speed,Processor_AMD Athlon 64x2 Doble Nucleo,Processor_AMD Mobile Sempron,Processor_AMD Turion 64x2,Processor_Intel Celeron,Processor_Intel Core2 Duo,Processor_Intel Core2 Solo,Processor_Intel Pentium Dual-Core,Processor_PowerPC,Subwoofer,Warranty-Days,market_impact,SalesScaled
0,0,0,0,0,0,256,0,1,0,0,0,0,0,0,0,0,0,0,768,1,0,0,1,0,0,0,0,0,0,0,26950.0,1000.0,0,0,0,0,0,0,0,1,0,365,0.0,96318.49938
0,0,0,0,0,0,250,0,1,0,0,0,0,0,0,0,0,0,0,768,0,0,1,1,0,0,0,0,0,0,0,27950.0,933.0,0,0,0,0,0,0,0,1,0,365,0.0,99820.01155
0,0,0,0,0,0,256,0,1,0,0,0,0,0,0,0,0,0,0,768,1,0,0,1,0,0,0,0,0,0,0,28450.0,1000.0,0,0,0,0,0,0,0,1,0,365,0.0,97090.44542
0,0,0,0,0,0,256,0,1,0,0,0,0,0,0,0,0,0,0,768,1,0,0,1,0,0,0,0,0,0,0,28950.0,1330.0,0,0,0,0,0,0,0,1,0,365,0.0,84064.34088999999
0,0,0,0,0,0,256,0,1,0,0,0,0,0,0,0,0,0,0,768,1,0,0,1,0,0,0,0,0,0,0,28950.0,867.0,0,0,0,0,0,0,0,1,0,365,0.0,102701.3815
0,0,0,0,0,0,256,0,1,0,0,0,0,0,0,0,0,0,0,768,1,0,0,1,0,0,0,0,0,0,0,29950.0,1000.0,0,0,0,0,0,0,0,1,0,365,0.0,97862.39146
0,0,0,0,0,0,256,0,1,0,0,0,0,0,0,0,0,0,0,768,1,0,0,1,0,0,0,0,0,0,0,32450.0,1200.0,0,0,0,0,0,0,0,1,0,365,0.0,91098.41069
1,0,0,0,0,0,512,0,1,0,0,0,0,0,0,0,0,0,0,768,1,0,0,1,0,0,0,0,0,0,0,32950.0,1330.0,0,0,0,0,0,0,0,1,0,365,0.0,73751.88906
0,0,0,0,0,0,256,0,1,0,0,0,0,0,0,0,0,0,0,854,1,0,0,1,0,0,0,0,0,0,0,33950.0,867.0,0,0,0,0,0,0,0,1,0,365,0.0,95401.00871000001
0,0,0,0,0,0,256,0,1,0,0,0,0,0,0,0,0,0,0,768,1,0,0,1,0,0,0,0,0,0,0,36499.5,1330.0,0,0,0,0,0,0,0,1,0,365,0.0,87949.54531
0,0,0,0,0,0,256,0,1,0,0,0,0,0,0,0,0,0,0,500,1,0,0,1,0,0,0,0,0,0,0,37450.0,1000.0,0,0,0,0,0,0,0,1,0,365,0.0,159171.2106
0,0,0,0,0,0,512,0,1,0,0,0,0,0,0,0,0,0,0,768,1,0,0,1,0,0,0,0,0,0,0,37497.5,1000.0,0,0,0,0,0,0,0,1,0,365,0.0,89375.59202000001
1,0,0,0,0,0,512,0,1,0,0,0,0,0,0,0,0,0,0,768,1,0,0,1,0,0,0,0,0,0,0,38950.0,1500.0,0,0,0,0,0,0,0,1,0,365,0.0,69996.69935
0,0,0,0,0,0,512,0,1,0,0,0,0,0,0,0,0,0,0,768,1,0,0,1,0,0,0,0,0,0,0,39950.0,1250.0,0,0,0,0,0,0,0,1,0,365,0.0,80574.52692
1,0,0,0,0,0,512,0,1,0,0,0,0,0,0,0,0,0,0,768,1,0,0,1,0,0,0,0,0,0,0,39950.0,1420.0,0,0,0,0,0,0,0,1,0,365,0.0,73731.55304
